order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
2850500678,32423,3/29/2024 1:46,3/29/2024 1:59,13,4.84,Slightly Delayed,Traffic
7171106490,2312,8/17/2023 15:59,8/17/2023 15:57,-2,1.49,On Time,
3829771237,87568,11/24/2023 0:05,11/24/2023 0:08,3,4.08,On Time,Traffic
459643984,96765,7/17/2025 17:51,7/17/2025 17:52,1,3.21,On Time,Traffic
1316777473,43840,12/16/2023 13:34,12/16/2023 14:01,27,0.95,Significantly Delayed,Traffic
7511736375,53285,6/12/2023 14:54,6/12/2023 15:03,9,2.46,Slightly Delayed,Traffic
9078729924,34990,10/22/2024 21:06,10/22/2024 21:01,-5,3.44,On Time,
3818630716,28841,11/24/2024 1:59,11/24/2024 1:58,-1,1.9,On Time,
8585415558,51303,7/2/2024 1:54,7/2/2024 1:59,5,1.27,On Time,Traffic
3164636338,95460,6/26/2025 8:04,6/26/2025 7:59,-5,3.78,On Time,
1069569617,29913,12/29/2023 9:15,12/29/2023 9:34,19,4,Significantly Delayed,Traffic
8830652374,35179,5/25/2025 5:43,5/25/2025 5:48,5,0.77,On Time,Traffic
192325016,44752,8/9/2024 17:34,8/9/2024 17:29,-5,0.86,On Time,
6018926249,45760,11/21/2025 20:52,11/21/2025 21:06,14,0.75,Slightly Delayed,Traffic
758171239,33040,3/11/2025 21:46,3/11/2025 21:44,-2,1.09,On Time,
9687670406,76792,8/20/2023 3:16,8/20/2023 3:22,6,0.72,Slightly Delayed,Traffic
3836331811,85361,5/1/2025 16:16,5/1/2025 16:14,-2,3.43,On Time,
2304449471,80216,10/6/2024 12:45,10/6/2024 12:52,7,1.13,Slightly Delayed,Traffic
3049938096,53645,5/14/2025 13:05,5/14/2025 13:03,-2,0.58,On Time,
969452191,93614,9/16/2024 6:59,9/16/2024 6:59,0,2.58,On Time,
4088350993,53085,5/11/2023 19:06,5/11/2023 19:08,2,3.49,On Time,Traffic
2779255026,92429,6/15/2023 4:54,6/15/2023 5:01,7,1.19,Slightly Delayed,Traffic
3144468812,12333,10/19/2023 14:30,10/19/2023 14:33,3,3.54,On Time,Traffic
4914116817,63216,2/9/2025 18:32,2/9/2025 18:31,-1,4.77,On Time,
7247346786,68764,7/25/2024 0:12,7/25/2024 0:22,10,4.29,Slightly Delayed,Traffic
5025845984,10083,3/11/2023 23:50,3/11/2023 23:50,0,2.75,On Time,
